#####################################################################
# Alchemist log file - simulation started at: 2025-06-30T18:14+0000 #
#####################################################################
#
# update-frequency = 0.1, 5g-probability = 0.05, payload-size = 3, seed = 81.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.020379921658474 1.54e+03 1.59e+03 1.38e+03 2.34e+03 0.912 1.00 0.283 507346.66845455056 4.556733700039553E10 546757.6041157217 4575.286354422382 8.018964469043115E8 8.878959647733321 65.0 6.421875 1.0 36.4577619002837 54.0 440475.6124702954 6.984646194419472E10 510959.3797948463 1547.4452554744548 2253231.262239645 3000.0 206906.5710394072 7.979477268629413E10 9853.191921756594 185299.0581755794 8.473007738594095E10 517.7457616830709 0.023163949748904643 0.001634230102219484 0.004214768351061772
120.02037992165847 1.54e+03 1.59e+03 1.37e+03 2.26e+03 0.910 1.00 0.282 516835.8580402114 4.3251990252308014E10 552935.9631434234 13520.655913918014 7.191111173055908E9 8.864082424458642 65.0 6.421875 1.0 35.459256604845145 55.0 448564.0603225281 6.950757569513991E10 518922.1882850751 1547.4452554744548 2253231.262239645 3000.0 205120.83082686277 7.919491396019397E10 9842.471290202242 184431.77032350056 8.41719265281343E10 517.7457616830709 0.019250742515277367 0.0011361141318877112 0.004182648733993264
180.02037992165847 1.54e+03 1.59e+03 1.38e+03 2.21e+03 0.875 1.00 0.317 521279.3901260607 4.461988384832467E10 557382.7834136626 18394.65067398435 5.6067237971885805E9 8.852919268283038 66.0 6.323076923076924 1.0 34.31476891055249 54.0 451734.1069945325 7.129461201028958E10 521747.86317452765 1547.4452554744548 2253231.262239645 3000.0 207737.92670211894 8.089290690524902E10 9853.191921756594 186680.74454165323 8.532592488894933E10 517.7457616830709 0.017936498451513936 9.162857278602565E-4 0.004208615159831063
240.02037992165847 1.54e+03 1.58e+03 1.38e+03 2.25e+03 0.867 1.00 0.326 519499.8346593901 4.510722350837159E10 555475.3418541723 5143.785856105459 1.1330280627366881E9 8.858042827315625 64.0 6.523809523809528 1.0 32.67921167311161 53.0 452717.32870184537 7.088829321175172E10 521240.3754596316 1547.4452554744548 2253231.262239645 3000.0 206448.18024301375 8.095138248383228E10 9842.471290202242 185409.72997351515 8.558647492820685E10 607.9131220903055 0.5627880239070511 61.416362837913276 0.004245672145048441
300.02037992165845 1.54e+03 1.59e+03 1.36e+03 2.26e+03 0.866 1.00 0.326 536052.4622234585 4.51174834674209E10 561933.4276061372 3879.6845520630045 6.121653129928921E8 8.858042827315625 64.0 6.523809523809528 1.0 32.677730970532295 54.0 466857.5644151967 7.29475747040654E10 533995.9491350992 1547.4452554744548 2253231.262239645 3000.0 208236.17795326095 8.169978331162177E10 9853.191921756594 182977.24486176803 8.519581860975378E10 471.9937944350218 0.5617428467479286 61.15148256299222 0.004245672145048441
360.02037992165845 1.54e+03 1.59e+03 1.37e+03 2.10e+03 0.906 1.00 0.292 538513.702315804 4.743875370479658E10 564621.2614771457 31373.566175268632 1.921363232179887E10 8.866883468759927 68.0 6.1343283582089505 1.0 31.42952458803566 56.0 468575.1349241137 7.532277080304092E10 539350.1917335658 1547.4452554744548 2253231.262239645 3000.0 207905.71320454878 8.139693151418295E10 9853.191921756594 186270.39772442557 8.61512582785943E10 483.2293775708662 0.017588985480766407 9.571069198096501E-4 0.004245672145048441
420.02037992165845 1.54e+03 1.59e+03 1.37e+03 2.22e+03 0.907 1.00 0.281 532385.6055686558 4.295620682509734E10 560291.6013590354 19249.057176131333 1.540718319970168E10 8.85534564162928 67.0 6.227272727272727 1.0 34.60271018934138 55.0 463426.0819131086 7.114041444305652E10 525842.611449118 1547.4452554744548 2253231.262239645 3000.0 207343.78715113716 8.065654460228448E10 9853.191921756594 187135.06645536653 8.595306321927856E10 483.2293775708662 0.016418539729403422 7.385032522758466E-4 0.004181272138379822
480.02037992165845 1.54e+03 1.59e+03 1.37e+03 2.18e+03 0.887 1.00 0.294 550507.161993895 5.045911425084001E10 565970.0358141286 6319.064434607766 1.5176881434069042E9 8.841315911693071 65.0 6.421875 1.0 35.14541433543676 54.0 479908.98794278933 7.910781548668001E10 545027.611130867 1547.4452554744548 2253231.262239645 3000.0 207835.74770625052 7.93363221192795E10 10211.873776899727 185861.92685787595 8.492837389568063E10 483.2293775708662 0.016135318386225863 6.753265743131845E-4 0.00419678064418552
