#####################################################################
# Alchemist log file - simulation started at: 2026-06-18T09:19+0000 #
#####################################################################
#
# update-frequency = 0.0166666667, 5g-probability = 0.5, payload-size = 3, seed = 1.0
#
# The columns have the following meaning: 
# time B1_DR[mean] DIST_MR[mean] DR_MR[mean] CSC[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.02188203284735 1.23e+03 1.28e+03 1.59e+03 1.60e+03 0.730 1.00 0.444 382840.0960232293 7.467350895492792E10 272365.5738634218 993.0031995073529 1.9944679545967903E7 8.693240191314636 108.0 4.317757009345792 1.0 22.98136986690017 58.0 382840.0960232293 7.467350895492792E10 272365.5738634218 1227.2727272727284 2180339.1835929705 0.0 142999.77232308578 4.761609199914491E10 8.986813099491188 241680.716851401 4.549640763310709E10 204402.4399462241 0.014704504529501516 0.0010036538755649879 0.004440934769305651
120.02188203284734 1.42e+03 1.41e+03 888 1.98e+03 0.826 1.00 0.371 451183.0016737685 6.636387573251245E10 467227.1074915889 13756.971104528902 1.9788051248226302E9 8.761389620926048 59.0 7.965517241379314 1.0 35.86229291660732 36.0 451183.0016737685 6.636387573251245E10 467227.1074915889 1428.5714285714266 2249767.5859931726 0.0 181492.96500257635 7.461344027310449E10 8.825880689921808 157042.8040968715 7.890146573781783E10 0.0 0.023165628496242385 0.001615061937525225 0.005454834521085899
180.02188203284734 1.42e+03 1.53e+03 1.21e+03 2.05e+03 0.923 1.00 0.258 460606.5756098306 6.471599639720239E10 487208.8063404646 26521.0841776002 3.5610830608419676E9 8.72808740466311 46.0 10.26666666666666 1.0 40.99412374741261 26.0 460606.5756098306 6.471599639720239E10 487208.8063404646 1428.5714285714266 2249767.5859931726 0.0 186037.04711989177 7.440925865037462E10 8741.51778414373 165299.76931283023 7.935964010411732E10 0.0 0.025670599758592875 0.001893706247329384 0.005461330227265505
240.02188203284734 1.42e+03 1.55e+03 1.23e+03 2.06e+03 0.923 1.00 0.266 473038.6615579702 6.455750960826572E10 515306.66286133806 54446.489588428674 1.5380970444782438E10 8.880665852435206 40.0 11.846153846153848 1.0 44.27993394989749 23.0 473038.6615579702 6.455750960826572E10 515306.66286133806 1428.5714285714266 2249767.5859931726 0.0 187536.35348629954 7.448466631074757E10 9334.793073644352 165561.81119477196 8.031139575972353E10 0.0 0.02424087789882189 0.0016808877052402085 0.005603147145315586
300.0218820328473 1.42e+03 1.60e+03 1.27e+03 2.56e+03 0.904 1.00 0.295 476185.97949141136 6.479575242875453E10 518080.59108391363 11366.749083917897 1.1702456214809675E9 8.736637738547927 36.0 13.200000000000005 1.0 47.01989566380696 20.0 476185.97949141136 6.479575242875453E10 518080.59108391363 1428.5714285714266 2249767.5859931726 0.0 187953.4782423466 7.461916421332771E10 9395.149318876905 167724.94778273706 8.080090804702063E10 292.7014597073247 0.3272776450904422 41.18485745532254 0.008663898723986652
360.0218820328473 1.42e+03 1.59e+03 1.22e+03 2.61e+03 0.905 1.00 0.293 479400.02219133935 6.31174333386148E10 521183.0573249596 11582.118579750115 8.755369066867901E8 8.879375158006098 33.0 14.4375 1.0 54.96388110210606 18.0 479400.02219133935 6.31174333386148E10 521183.0573249596 1428.5714285714266 2249767.5859931726 0.0 188170.81875490284 7.489426941777542E10 7158.906479071085 166725.52635758635 8.103313311716708E10 0.0 0.030429018233590614 0.002029495150149527 0.009010166210236096
420.0218820328473 1.42e+03 1.63e+03 1.22e+03 2.61e+03 0.903 1.00 0.296 479600.1464691003 6.396092733412273E10 518393.3320485905 4602.831021556076 1.1984308723528147E8 8.819038626602076 31.0 15.400000000000002 1.0 58.76639903186526 18.0 479600.1464691003 6.396092733412273E10 518393.3320485905 1428.5714285714266 2249767.5859931726 0.0 189289.53379710513 7.47447695180006E10 9390.703828671441 167783.86715650265 8.07088530071386E10 278.1051771012919 0.030558065041954716 0.0019068230778905703 0.009499254538807587
480.0218820328473 1.42e+03 1.70e+03 1.22e+03 2.62e+03 0.908 1.00 0.290 482481.7125839281 6.449555087687927E10 520406.88645462005 38524.75947408322 1.334095543058994E10 8.880665852435206 31.0 15.400000000000002 1.0 60.61387117904899 18.0 482481.7125839281 6.449555087687927E10 520406.88645462005 1428.5714285714266 2249767.5859931726 0.0 191315.59236491576 7.511922630555334E10 10054.518077302684 168543.34906815883 8.040833365413893E10 278.1051771012919 0.2843755583039019 28.679692722912336 0.008868961385497528
