#####################################################################
# Alchemist log file - simulation started at: 2025-07-02T10:41+0000 #
#####################################################################
#
# update-frequency = 0.2, 5g-probability = 0.5, payload-size = 3, seed = 99.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.0003159729562 1.55e+03 1.71e+03 1.44e+03 2.61e+03 0.905 1.00 0.294 500375.05073676305 4.86174229072547E10 535705.3830073052 25136.09003833954 8.475366505781774E9 8.85795191511722 30.0 14.172413793103448 1.0 55.370872284414546 18.0 481020.7501334764 5.596213919565106E10 523346.1636897917 1554.7445255474454 2252483.532134576 3000.0 208274.80625013524 7.935107850832321E10 11485.649962197906 186137.18430600117 8.448029195413739E10 1297.4561779303208 0.022365566425569795 0.0010416530879202128 0.006518706622780627
120.0003159729562 1.55e+03 1.69e+03 1.43e+03 2.54e+03 0.911 1.00 0.285 499315.2369712691 4.494240657652581E10 536842.389212728 28252.034135206184 4.2329166149863935E9 8.88489237094876 31.0 13.700000000000006 1.0 56.71535095970715 18.0 477160.8924655538 5.325798790046443E10 522147.30008967046 1554.7445255474454 2252483.532134576 3000.0 205871.00359661746 7.902488262182224E10 9916.900086088286 185338.23742651808 8.398385944697516E10 1297.4561779303208 0.021408800479226452 8.826887614188249E-4 0.006380537423077336
180.0003159729562 1.55e+03 1.70e+03 1.44e+03 2.33e+03 0.903 1.00 0.288 518164.2915895487 5.153119624732575E10 556369.6680290112 37388.04706319618 1.1775637701076693E10 8.86489303383755 29.0 14.678571428571432 1.0 53.86887617266409 16.0 503666.0142336625 5.8335987315953186E10 549667.2258722263 1554.7445255474454 2252483.532134576 3000.0 208690.8574746709 8.066821769983096E10 10156.726406366095 187594.9132555226 8.514818076421983E10 1297.4561779303208 0.021755063756058853 0.0011847975785499213 0.00569742791292842
240.0003159729562 1.55e+03 1.69e+03 1.44e+03 2.29e+03 0.893 1.00 0.301 513740.0092376322 4.581373521519532E10 545796.2860081418 10949.585824949454 1.1846424287475905E9 8.870454541377274 28.0 15.222222222222216 1.0 46.983084790275925 15.0 498767.66033511964 5.2471340168956856E10 535552.0811776568 1554.7445255474454 2252483.532134576 3000.0 208804.47366732397 8.117219173271127E10 10145.442255304359 186340.40642759748 8.504295332819055E10 2123.098961134012 0.01773225221758575 7.580574483945719E-4 0.00630364022059666
300.0003159729562 1.55e+03 1.69e+03 1.44e+03 2.55e+03 0.882 1.00 0.314 503951.8088979582 4.692847694546927E10 541218.0690138013 2029.1595535621304 3.8732586542844914E7 8.88489237094876 29.0 14.678571428571434 1.0 46.334575180342995 16.0 488847.2938889424 5.3763899121860176E10 530922.1777253035 1554.7445255474454 2252483.532134576 3000.0 208964.7274517479 8.151267611123941E10 10145.442255304359 185203.8707191055 8.557512630454922E10 1297.4561779303208 0.01758232653252177 7.895375476030975E-4 0.00630364022059666
360.0003159729562 1.55e+03 1.63e+03 1.42e+03 2.26e+03 0.896 1.00 0.297 519874.5307153489 4.619539142163995E10 555926.0972348402 25480.819406581228 9.389841700307892E9 8.90636289901243 32.0 13.258064516129037 1.0 43.939327670425655 18.0 501108.35208611505 5.508478267112326E10 546757.6041157217 1554.7445255474454 2252483.532134576 3000.0 208516.76162637724 8.115018469243396E10 11485.649962197906 187075.1024407409 8.592580518684277E10 1297.4561779303208 0.01775450241571944 6.218751826511307E-4 0.0051915304003097955
420.0003159729562 1.55e+03 1.63e+03 1.39e+03 2.51e+03 0.895 1.00 0.298 533190.5301873018 4.931162211923864E10 561911.1476472474 18162.100402481592 2.1749859030844264E9 8.88489237094876 33.0 12.84375 1.0 48.190555476117666 19.0 508747.65780335094 6.0175336114572365E10 552265.2734015927 1554.7445255474454 2252483.532134576 3000.0 205686.17693740202 7.957165655645413E10 9916.900086088286 185569.28570748374 8.496038466938234E10 1297.4561779303208 0.5638515185232709 60.15355547517202 0.00630364022059666
480.0003159729562 1.55e+03 1.64e+03 1.38e+03 2.51e+03 0.895 1.00 0.299 526029.3669239049 4.959460345310591E10 556736.9558531581 13734.842307365243 1.563943547762414E9 8.88489237094876 34.0 12.45454545454545 1.0 47.266591603564784 20.0 505418.0155435457 5.961198156486404E10 551654.7343738769 1554.7445255474454 2252483.532134576 3000.0 207987.2127230484 7.916588693023502E10 12878.363317933981 185992.7275020396 8.529984019420692E10 483.2293775708662 0.5659556344815966 60.43768121678542 0.00630364022059666
