#####################################################################
# Alchemist log file - simulation started at: 2025-07-01T03:28+0000 #
#####################################################################
#
# update-frequency = 0.2, 5g-probability = 0, payload-size = 3, seed = 10.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.00351751175971 1.51e+03 1.51e+03 1.41e+03 1.57e+03 0.819 1.00 0.385 387257.99382817396 6.8258913110786545E10 350138.71531375626 13.107128042275816 61.721185375818685 8.776285836984023 173.0 2.3895348837209327 1.0 15.794162287234574 157.0 237833.94536568655 7.643940068444281E10 144131.35276572368 1518.2481751824816 2255153.9967954303 3000.0 191702.12646804767 7.232057742586461E10 9842.471290202242 189242.7175847396 7.261275669915736E10 409.93306849889717 0.009422361242966078 5.858566210779267E-4 0.0014331955548701819
120.00351751175971 1.51e+03 1.51e+03 1.41e+03 1.57e+03 0.819 1.00 0.385 387253.4661448612 6.8505308542710945E10 345952.9588614383 12.856270374789679 57.85405511734375 8.761599491313175 173.0 2.3895348837209327 1.0 15.794162287234574 157.0 237826.7332559741 7.65816008233379E10 144060.5236404052 1518.2481751824816 2255153.9967954303 3000.0 189431.03799308467 7.20303175557679E10 9331.409920023909 189244.5802988216 7.275695176188348E10 409.93306849889717 0.009427245020761338 5.858308981967789E-4 0.0014331955548701819
180.0035175117597 1.51e+03 1.51e+03 1.41e+03 1.57e+03 0.819 1.00 0.385 387021.3108960987 6.874011838212367E10 345952.9588614383 12.53826753962792 54.93349650353328 8.751778385371708 173.0 2.3895348837209327 1.0 15.794162287234574 157.0 237683.16249096987 7.667594959119414E10 144055.78717684245 1518.2481751824816 2255153.9967954303 3000.0 191459.9777527646 7.242024075415155E10 9822.522313778609 189113.91418838562 7.28434842952988E10 409.93306849889717 0.009438387791051635 5.857757865805257E-4 0.0014331955548701819
240.0035175117597 1.51e+03 1.50e+03 1.41e+03 1.57e+03 0.819 1.00 0.385 387106.9087239726 6.899564740237556E10 347288.6935764074 12.484694297110929 53.46336011658224 8.761599491313175 173.0 2.3895348837209327 1.0 15.794162287234574 157.0 237724.3695923761 7.683767074976035E10 144051.04250403278 1518.2481751824816 2255153.9967954303 3000.0 189511.3524508969 7.24319626731283E10 9331.409920023909 189249.5877761053 7.29891177243849E10 409.93306849889717 0.009477880761008221 5.866464060405613E-4 0.0014218649524815386
300.0035175117597 1.51e+03 1.51e+03 1.41e+03 1.57e+03 0.827 1.00 0.378 388752.88638859306 6.876709811476634E10 348713.7044450818 85.94140419253368 878192.4239605875 8.768924270982762 174.0 2.3757225433526057 1.0 15.744799443116685 157.0 237753.87423706733 7.689066462521742E10 144042.0226641898 1518.2481751824816 2255153.9967954303 3000.0 191191.5792001068 7.295350111106677E10 9379.906293093049 189254.71710239106 7.307016073928615E10 409.93306849889717 0.009369949792764709 5.817490359756759E-4 0.0014159861051020268
360.0035175117597 1.51e+03 1.51e+03 1.41e+03 1.55e+03 0.846 1.00 0.361 385753.7321669126 6.801605896761075E10 348713.7044450818 12.78970183647162 62.761429019871244 8.77671315154035 174.0 2.3757225433526057 1.0 15.74664564403642 158.0 237708.31129405336 7.635023321466675E10 144131.35276572368 1518.2481751824816 2255153.9967954303 3000.0 191050.52634015842 7.278406700804797E10 9379.906293093049 190022.93320211835 7.274301660875372E10 2120.1739173562296 0.008526815831267862 5.025919259837177E-4 0.0014155397408916219
420.0035175117597 1.51e+03 1.51e+03 1.40e+03 1.55e+03 0.846 1.00 0.361 385804.6268550597 6.776133143509321E10 346349.81059050787 12.2938027143106 53.75580937055165 8.757927871009912 174.0 2.3757225433526057 1.0 15.74664564403642 158.0 237872.15749558792 7.626521943881259E10 144601.25211341816 1518.2481751824816 2255153.9967954303 3000.0 190986.94147102264 7.267912029425784E10 9379.906293093049 190060.47694948746 7.277647603664818E10 2909.9954781159736 0.008538098131222709 5.041521386943375E-4 0.001415399972025827
480.0035175117597 1.51e+03 1.51e+03 1.40e+03 1.55e+03 0.842 1.00 0.365 384744.73850700585 6.7814143355196754E10 342675.33804911945 12.621742810102521 54.869400784590425 8.795103791625145 173.0 2.3895348837209327 1.0 15.792310876605079 157.0 238250.50740237662 7.61532963707329E10 144601.25211341816 1518.2481751824816 2255153.9967954303 3000.0 191403.4352098631 7.288361002252792E10 9916.900086088286 189695.46793747545 7.296803094926845E10 1730.0180225341 0.008577482380507156 5.039754158528938E-4 0.0014218712742985343
