#####################################################################
# Alchemist log file - simulation started at: 2025-06-30T13:24+0000 #
#####################################################################
#
# update-frequency = 0.2, 5g-probability = 0.05, payload-size = 3, seed = 0.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.00566866630623 1.51e+03 1.56e+03 1.37e+03 2.32e+03 0.909 1.00 0.287 503938.4858572469 4.140674328432366E10 542621.3164055271 9395.378959668473 6.037627364078182E9 8.794087614515497 83.0 5.012195121951224 1.0 33.44222728067498 70.0 417884.6964510873 6.985420693975752E10 491893.09401049 1518.2481751824816 2255153.9967954303 3000.0 207296.3235376553 7.968458173076218E10 9842.471290202242 185236.2813803379 8.47463538045431E10 517.7457616830709 0.014676957975086995 6.52397210203892E-4 0.003902477458123066
120.00566866630624 1.51e+03 1.55e+03 1.36e+03 2.36e+03 0.904 1.00 0.294 515538.18199611205 4.100430547962272E10 552326.4583832934 108.6441727079569 642148.3874729885 8.768065511518467 82.0 5.074074074074073 1.0 32.35265745567805 69.0 427679.2002684244 7.132294364069621E10 502852.21209996706 1518.2481751824816 2255153.9967954303 3000.0 207068.67192723427 8.013049355058156E10 9755.57365118288 184400.2401287133 8.421375864047038E10 517.7457616830709 0.01330236381754789 5.1384171908346E-4 0.004081313406926051
180.00566866630624 1.51e+03 1.56e+03 1.37e+03 2.23e+03 0.909 1.00 0.288 516218.7868872368 4.045684580555605E10 552606.2306676735 6242.670054749009 1.920438426065143E9 8.768587117630673 85.0 4.8928571428571415 1.0 32.05793620409912 70.0 426611.27486970887 7.21546885564159E10 504798.5841131268 1518.2481751824816 2255153.9967954303 3000.0 207835.67129829797 8.089807604253632E10 9822.522313778609 186642.42397438618 8.537085311494318E10 517.7457616830709 0.014103908919568137 6.677843560703254E-4 0.00352171323887256
240.00566866630624 1.51e+03 1.54e+03 1.38e+03 2.13e+03 0.901 1.00 0.299 509738.7342476362 4.382990786571942E10 551615.529521151 5347.556079690745 1.964310285304194E9 8.768065511518467 82.0 5.074074074074073 1.0 28.154385882921442 68.0 425137.1214502588 7.306153348032495E10 502852.21209996706 1518.2481751824816 2255153.9967954303 3000.0 206346.17816112837 8.101419969904385E10 9379.906293093049 185397.3781324502 8.527627482538379E10 471.9937944350218 0.013579614243319311 6.579613149328622E-4 0.004080670989253264
300.00566866630624 1.51e+03 1.55e+03 1.37e+03 2.10e+03 0.903 1.00 0.296 542986.0043105484 4.096817660557242E10 562851.4640885254 10307.986628869727 3.532485849176916E9 8.777474554677486 85.0 4.892857142857143 1.0 27.244549739967535 71.0 448197.5991972459 7.664213360084232E10 525372.4384931497 1518.2481751824816 2255153.9967954303 3000.0 208127.7411682446 8.176472913524258E10 9755.57365118288 184263.39533763254 8.581657456649591E10 471.9937944350218 0.013439256430016712 6.633714671301805E-4 0.004041489373124644
360.00566866630624 1.51e+03 1.55e+03 1.36e+03 2.07e+03 0.906 1.00 0.292 542516.323994146 4.1668001418634514E10 563994.8794163396 4153.742547062882 6.673587058802733E8 8.795103791625145 86.0 4.8352941176470585 1.0 27.861411724916618 72.0 445261.4561381013 7.706445400264859E10 523346.1636897917 1518.2481751824816 2255153.9967954303 3000.0 207749.55661946308 8.140751508332895E10 9755.57365118288 188197.80707516219 8.436653753569173E10 483.2293775708662 0.012895984333878742 6.039843324846616E-4 0.003954089999086696
420.00566866630624 1.51e+03 1.54e+03 1.34e+03 2.32e+03 0.895 1.00 0.307 504340.14361253113 4.5029269141844925E10 551615.529521151 7408.448875397493 2.3699000337659698E9 8.774202925018791 86.0 4.835294117647058 1.0 27.374321934991546 70.0 416052.0510483652 7.370167345845354E10 490932.08998377575 1518.2481751824816 2255153.9967954303 3000.0 207157.77723541541 8.06399848595461E10 9755.57365118288 185686.4327916975 8.41582408531159E10 483.2293775708662 0.5540485032277104 60.116973450887876 0.004080670989253264
480.00566866630624 1.51e+03 1.56e+03 1.36e+03 2.30e+03 0.909 1.00 0.288 523353.4584288225 4.1329478578660515E10 552910.9830477386 1873.0977317120057 8.483224954138455E7 8.815708954985285 84.0 4.951807228915662 1.0 33.570785649625684 71.0 432307.4949323471 7.360952294941187E10 517517.78613517096 1518.2481751824816 2255153.9967954303 3000.0 207616.0119188618 7.932294844555818E10 10145.442255304359 185608.18088797195 8.409291821498325E10 483.2293775708662 0.5583909130714156 60.39915482797033 0.004039901394588591
