#####################################################################
# Alchemist log file - simulation started at: 2025-07-01T03:51+0000 #
#####################################################################
#
# update-frequency = 0.2, 5g-probability = 0.05, payload-size = 3, seed = 55.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.00574349983843 1.52e+03 1.67e+03 1.43e+03 2.17e+03 0.835 1.00 0.372 506271.5488307887 4.086798877781612E10 542621.3164055271 14.244766915899124 72.24124305453422 8.921967803714825 72.0 5.788732394366192 1.0 32.60846318407787 60.0 433184.53546700487 6.674458097245634E10 503948.7091045127 1525.5474452554724 2254833.541036125 3000.0 207983.7792154583 7.946023403405795E10 10145.442255304359 186119.9689016928 8.456809426785297E10 1130.498666569695 0.013522827249173504 4.4551150675709435E-4 0.004140522891854705
120.00574349983843 1.52e+03 1.64e+03 1.42e+03 2.17e+03 0.835 1.00 0.372 508247.9213822174 4.071065909199405E10 546757.6041157217 13.635760009833877 66.88606414561823 8.911713669760791 72.0 5.788732394366192 1.0 32.60846318407787 60.0 435087.08393020224 6.682885454476381E10 508468.8018074155 1525.5474452554724 2254833.541036125 3000.0 207735.84184658466 7.993838504295192E10 9857.966181083131 185214.45910043 8.396286281450253E10 1130.498666569695 0.013811766584218774 4.8531476476092563E-4 0.004141553873061204
180.00574349983845 1.52e+03 1.68e+03 1.43e+03 2.14e+03 0.833 1.00 0.373 518533.59858654125 4.138714717486633E10 552910.9830477386 4982.965833980333 1.4425426785927763E9 8.911713669760791 78.0 5.337662337662333 1.0 30.06642225298858 63.0 442212.8647044546 6.92211469214458E10 518125.1545830751 1525.5474452554724 2254833.541036125 3000.0 208925.27986870956 8.059418887468123E10 9916.900086088286 187490.40425201514 8.514602745254373E10 1130.498666569695 0.012928223498032045 4.4869672875364706E-4 0.00409002803414097
240.00574349983845 1.52e+03 1.64e+03 1.44e+03 2.16e+03 0.838 1.00 0.369 516534.3928914945 4.354274412580144E10 552606.2306676735 14951.958216354407 9.695772579563047E9 8.911713669760791 76.0 5.48 1.0 30.464582892447556 62.0 440076.09819810186 7.116716041418709E10 517464.29070031526 1525.5474452554724 2254833.541036125 3000.0 208641.57786819484 8.119956910746777E10 9857.966181083131 186205.05535844248 8.501147768451347E10 1130.498666569695 0.014472566566381632 6.565873403686592E-4 0.0041243523568934215
300.00574349983845 1.52e+03 1.64e+03 1.42e+03 2.16e+03 0.829 1.00 0.377 523302.4707733864 4.081635509036243E10 552910.9830477386 1960.7321861914609 2.3522927191925868E8 8.90385486535375 75.0 5.554054054054051 1.0 30.27098701021135 60.0 446381.94681166153 6.93516490046629E10 519531.84092254 1525.5474452554724 2254833.541036125 3000.0 208787.80053194286 8.151895640105202E10 9857.966181083131 185077.52051210153 8.555975906395735E10 1130.498666569695 0.018580686222634896 0.0013048363696339558 0.0041243523568934215
360.00574349983845 1.52e+03 1.57e+03 1.41e+03 2.14e+03 0.837 1.00 0.369 549492.3270919361 4.156632733883893E10 565697.1660733166 1929.7774025443898 2.31495622161192E8 8.906336218720062 76.0 5.480000000000003 1.0 30.123332072251454 63.0 466555.6163657876 7.377894623872153E10 537162.3518330292 1525.5474452554724 2254833.541036125 3000.0 208295.72047165476 8.117420651954462E10 9857.966181083131 188307.51046494392 8.473847113545204E10 2416.146887854331 0.021283314324440736 0.0018232339460093248 0.0041243523568934215
420.00574349983845 1.52e+03 1.57e+03 1.40e+03 2.12e+03 0.835 1.00 0.372 546836.781579954 4.109893864084335E10 565420.8934550065 3304.242485075868 6.610001838165826E8 8.907024707694347 74.0 5.630136986301368 1.0 30.529815503916755 60.0 466855.8746730614 7.218187572820088E10 530866.4525329743 1525.5474452554724 2254833.541036125 3000.0 205547.12117447448 7.96701332070153E10 9853.191921756594 184911.58192404808 8.417197397393352E10 2123.098961134012 0.02182860284693558 0.002053851167803983 0.004128748426434584
480.00574349983845 1.52e+03 1.59e+03 1.38e+03 2.08e+03 0.842 1.00 0.360 538585.3959438478 4.4982895346226616E10 561959.5465455296 3341.0933348906574 6.502451553026459E8 8.907882061578865 71.0 5.8714285714285745 1.0 31.308618727520635 58.0 462447.37174560205 7.363059815042416E10 531947.7789121068 1525.5474452554724 2254833.541036125 3000.0 207939.5680568329 7.92655960556244E10 11485.649962197906 183845.84979597363 8.333522315649185E10 483.2293775708662 0.015489415543390965 6.615856195553262E-4 0.004164883234341871
