#####################################################################
# Alchemist log file - simulation started at: 2025-07-02T06:07+0000 #
#####################################################################
#
# update-frequency = 0.0166666667, 5g-probability = 0.02, payload-size = 3, seed = 98.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.0127320489109 696 696 837 845 0.944 1.00 0.231 341195.66659615334 5.962815753008975E10 296119.0136683645 10.30499690707478 12.711693797615094 8.681637118049396 196.0 2.1076923076923095 1.0 9.024233828613808 170.0 192516.09668950734 6.110321129727672E10 59310.30464056683 708.0291970802913 1626740.2528039985 0.0 87404.53563257653 3.773099230659975E10 0.0 124070.18169028246 4.5375637834669334E10 0.0 0.00961302495549916 6.955759891525257E-4 0.0012967849919901598
120.01273204891089 1.51e+03 1.51e+03 881 1.74e+03 0.829 1.00 0.376 516826.09196182573 4.639711974131362E10 558148.6417758551 11.536821732973282 37.98667360043081 8.790916871952263 146.0 2.834482758620693 1.0 18.86170937268862 128.0 348717.2214062013 9.052848101694167E10 401648.1879618831 1518.2481751824816 2255153.9967954303 3000.0 198348.17745603318 7.766477006811229E10 16.06288529728914 173995.78448927228 8.368678372791809E10 0.0 0.00833665187992044 8.281630227195589E-4 0.0016915399689399638
180.0127320489109 1.51e+03 1.53e+03 1.22e+03 1.73e+03 0.782 1.00 0.413 528366.268087764 4.266910784545119E10 562354.2780346043 11.591170454043985 40.21703304142489 8.795750669074089 136.0 3.0444444444444394 1.0 19.66429701551593 118.0 371748.02575009636 8.828278173311728E10 453809.9831403666 1518.2481751824816 2255153.9967954303 3000.0 205099.45794233415 7.935437868308159E10 9379.906293093049 181481.11500833716 8.478447458882175E10 0.0 0.009633614959793778 6.915081866830196E-4 0.0018105234410226974
240.0127320489109 1.51e+03 1.53e+03 1.33e+03 1.73e+03 0.779 1.00 0.415 539200.1525372415 3.832607813185928E10 562851.4640885254 12.195503028472599 48.01289244569075 8.808084437638414 134.0 3.0902255639097786 1.0 19.883546817397686 117.0 381847.868333221 8.735161024770778E10 467314.20960810647 1518.2481751824816 2255153.9967954303 3000.0 207669.4956564192 8.10979786654214E10 9755.57365118288 183120.90550736786 8.47678410247099E10 10.536662966482291 0.010981117747006901 7.941711417950753E-4 0.001832185424554323
300.0127320489109 1.51e+03 1.53e+03 1.36e+03 1.73e+03 0.771 1.00 0.420 536145.3886369246 3.869692816123417E10 560165.2200838258 12.415316001609625 51.68722840342994 8.791914341605889 131.0 3.1615384615384587 1.0 20.11548204169674 114.0 385041.8124225899 8.613508542474034E10 476298.9691684176 1518.2481751824816 2255153.9967954303 3000.0 207970.14987600298 8.148695142816246E10 9755.57365118288 185454.55958544332 8.57423749982671E10 471.9937944350218 0.012480743437969281 0.0010869284885822903 0.0018769033273131855
360.0127320489109 1.51e+03 1.53e+03 1.35e+03 1.72e+03 0.766 1.00 0.423 541606.0974174445 3.787059555308689E10 562154.9927998156 12.12652509900323 47.72978742012765 8.78601647013531 130.0 3.186046511627913 1.0 20.192343630174996 112.0 389364.03785081423 8.63132447736867E10 480984.24087971856 1518.2481751824816 2255153.9967954303 3000.0 208066.2562330647 8.175364264917798E10 9755.57365118288 181834.27648436642 8.508745502085982E10 471.9937944350218 0.012347240372663848 0.0011395555515664722 0.001846629477787171
420.0127320489109 1.51e+03 1.53e+03 1.32e+03 1.72e+03 0.772 1.00 0.420 542941.5805479186 3.689503505191032E10 564621.2614771457 11.839696964416078 43.47597776409158 8.791590902881417 130.0 3.186046511627913 1.0 20.28036590594629 113.0 389820.2771462781 8.594883063436317E10 480593.03178077936 1518.2481751824816 2255153.9967954303 3000.0 207614.82987903256 8.12704092924782E10 9755.57365118288 181285.1928967154 8.426392214650188E10 471.9937944350218 0.012150900702401799 0.0010341041094043566 0.001846629477787171
480.0127320489109 1.51e+03 1.53e+03 1.33e+03 1.72e+03 0.772 1.00 0.420 543262.5458866145 3.656581021805581E10 563853.6283874434 11.704386429899245 48.29683103977352 8.781409652527191 130.0 3.186046511627913 1.0 20.279210198601636 113.0 390085.14586686826 8.569563191684367E10 483270.10153618513 1518.2481751824816 2255153.9967954303 3000.0 205063.99249834556 7.965424774132477E10 9755.57365118288 184428.72776907496 8.395940070035829E10 483.2293775708662 0.011807227788152944 9.939754856352501E-4 0.001846629477787171
