#####################################################################
# Alchemist log file - simulation started at: 2026-06-19T17:35+0000 #
#####################################################################
#
# update-frequency = 0.1, 5g-probability = 1, payload-size = 3, seed = 7.0
#
# The columns have the following meaning: 
# time B1_DR[mean] DIST_MR[mean] DR_MR[mean] CSC[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.00984151344496 1.42e+03 1.61e+03 1.33e+03 2.45e+03 0.908 1.00 0.289 476498.30249749095 6.438365937150125E10 506234.00728524424 7706.172744059373 3.8912169932268417E8 8.753360624904568 33.0 14.4375 1.0 54.259197228405135 17.0 476498.30249749095 6.438365937150125E10 506234.00728524424 1428.5714285714266 2249767.5859931726 0.0 188199.51056709728 7.35396483043387E10 9812.150093139659 166926.52416159288 7.836166458980774E10 292.2829648494023 3.037591923100455 522.1718381811244 0.008188392196848377
120.00984151344497 1.42e+03 1.67e+03 1.28e+03 2.59e+03 0.914 1.00 0.280 477611.1088517834 6.2661208048672264E10 517813.5193030178 12268.925654653563 9.814410476218137E8 8.895232139006781 34.0 14.0 1.0 61.14378545690477 19.0 477611.1088517834 6.2661208048672264E10 517813.5193030178 1428.5714285714266 2249767.5859931726 0.0 188072.50768418665 7.370136701362576E10 9812.150093139659 165665.04062714308 7.908984842324054E10 292.47607216026086 0.03371022403373416 0.0018353694145227962 0.008696690669407755
180.00984151344497 1.42e+03 1.64e+03 1.22e+03 2.54e+03 0.911 1.00 0.286 482161.3547710286 6.304747120012558E10 521658.836034262 44258.90351900599 7.291994835269107E9 8.927598011380692 35.0 13.58823529411765 1.0 59.21205735477683 19.0 482161.3547710286 6.304747120012558E10 521658.836034262 1428.5714285714266 2249767.5859931726 0.0 188326.75075155156 7.399565428809084E10 9854.175106449442 166118.61265194492 7.99956489036367E10 0.0 0.03115463908087501 0.0016605332858887671 0.0086575173886068
240.00984151344497 1.42e+03 1.57e+03 1.24e+03 2.24e+03 0.908 1.00 0.289 470899.75390448817 6.638859696261951E10 490747.5728030995 66991.33781113641 1.8570750468815636E10 8.938463788325317 37.0 12.833333333333329 1.0 50.887270370047226 20.0 470899.75390448817 6.638859696261951E10 490747.5728030995 1428.5714285714266 2249767.5859931726 0.0 189012.49380754333 7.418191070115918E10 10190.511899038902 169350.22801130998 8.103380352638881E10 292.7167773773857 3.6231372719220833 500.6902883597882 0.008561329732880901
300.00984151344494 1.42e+03 1.57e+03 1.26e+03 2.20e+03 0.883 1.00 0.289 481361.61125397566 6.604106599128416E10 521108.6300629076 10822.052530137178 1.0417859635100085E9 8.897806255057697 34.0 14.0 2.0 50.214539727055154 16.0 481361.61125397566 6.604106599128416E10 521108.6300629076 1428.5714285714266 2249767.5859931726 0.0 188675.21211799752 7.460700866760487E10 9395.634246929167 165451.76600301373 8.045628188984341E10 269.0213315312817 6.790215471458155 1165.976042599034 0.00859845297286392
360.00984151344494 1.42e+03 1.72e+03 1.24e+03 2.55e+03 0.917 1.00 0.276 479380.086457429 6.4269328168256966E10 524019.8073017796 66663.4999487907 2.4286822993866936E10 4487.952174812973 39.0 12.157894736842104 1.0 51.5324753633056 22.0 479380.086457429 6.4269328168256966E10 524019.8073017796 1428.5714285714266 2249767.5859931726 0.0 188932.4008997039 7.471599448924342E10 10050.480948845652 170245.38130532057 8.006594802366624E10 278.1051771012919 0.024865861069884806 0.0012034019782347942 0.005715632109156726
420.00984151344494 1.42e+03 1.63e+03 1.26e+03 2.18e+03 0.927 1.00 0.253 470007.26430379914 6.364637783554636E10 515305.0791725754 91878.38958644381 2.7340015538972034E10 12797.77654897949 45.0 10.5 2.0 41.9016012348754 20.0 470007.26430379914 6.364637783554636E10 515305.0791725754 1428.5714285714266 2249767.5859931726 0.0 188644.97051574668 7.48068957080385E10 9779.966556531368 170608.0371363001 8.051090912659305E10 278.1051771012919 0.5678802888303335 63.927116883837996 0.0055931906385353666
480.00984151344494 1.42e+03 1.47e+03 1.27e+03 2.04e+03 0.934 1.00 0.249 448559.82495862694 6.748512496691624E10 477774.0980892151 17594.087334516495 3.0010824875810823E9 8.801057827373999 36.0 13.200000000000005 2.0 41.87151214622853 17.0 448559.82495862694 6.748512496691624E10 477774.0980892151 1428.5714285714266 2249767.5859931726 0.0 191450.77107946778 7.496955036899573E10 9898.658976065997 172756.48703070424 8.19338399670368E10 278.1051771012919 1.0137866204219639 108.80025341780498 0.009190792516898142
